,team
0,Rob
1,Rob
2,Rob
3,Eng
4,Eng
5,Eng
6,Geo
7,Geo
8,Geo
9,HF
10,HF
11,HF
12,Rob
13,Rob
14,Rob
15,Eng
16,Eng
17,Eng
18,Geo
19,Geo
20,Geo
21,HF
22,HF
23,Rob
24,Rob
25,Rob
26,Eng
27,Eng
28,Eng
29,Geo
30,Geo
31,Geo
32,HF
33,HF
34,HF
35,Rob
36,Rob
37,Rob
38,Eng
39,Eng
40,Geo
41,Geo
42,Geo
43,HF
44,HF
45,HF
46,Rob
47,Rob
48,Rob
49,Eng
50,Eng
51,Eng
52,Geo
53,Geo
54,Geo
55,HF
56,HF
57,HF
58,Rob
59,Rob
60,Rob
61,Eng
62,Eng
63,Eng
64,Geo
65,Geo
66,Geo
67,HF
68,HF
69,HF
70,Rob
71,Rob
72,Rob
73,Eng
74,Eng
75,Eng
76,Geo
77,Geo
78,Geo
79,HF
80,HF
81,HF
82,Rob
83,Rob
84,Rob
85,Eng
86,Eng
87,Eng
88,Geo
89,Geo
90,Geo
91,HF
92,HF
93,HF
94,Rob
95,Rob
96,Rob
97,Eng
98,Eng
99,Geo
100,Geo
101,Geo
102,Geo
103,HF
104,HF
105,HF
106,Rob
107,Rob
108,Rob
109,Eng
110,Eng
111,Eng
112,Geo
113,Geo
114,Geo
115,HF
116,HF
117,Rob
118,Rob
119,Eng
120,Eng
121,Geo
122,Geo
123,HF
124,HF
125,Rob
126,Rob
127,Eng
128,Eng
129,Geo
130,Geo
131,HF
132,HF
133,Rob
134,Rob
135,Rob
136,Eng
137,Eng
138,Eng
139,Geo
140,Geo
141,Geo
142,HF
143,HF
144,HF
145,Rob
146,Rob
147,Rob
148,Eng
149,Eng
150,Eng
151,Geo
152,Geo
153,Geo
154,HF
155,HF
156,HF
157,Rob
158,Rob
159,Rob
160,Eng
161,Eng
162,Eng
163,Geo
164,Geo
165,Geo
166,HF
167,HF
168,HF
169,Rob
170,Rob
171,Rob
172,Eng
173,Eng
174,Eng
175,Geo
176,Geo
177,Geo
178,HF
179,HF
180,HF
181,Rob
182,Rob
183,Rob
184,Eng
185,Eng
186,Geo
187,Geo
188,Geo
189,HF
190,HF
191,HF
192,Rob
193,Rob
194,Rob
195,Eng
196,Eng
197,Eng
198,Geo
199,Geo
200,Geo
201,HF
202,HF
203,HF
204,Rob
205,Rob
206,Rob
207,Eng
208,Eng
209,Eng
210,Geo
211,Geo
212,Geo
213,HF
214,HF
215,HF
216,Rob
217,Rob
218,Rob
219,Eng
220,Eng
221,Eng
222,Geo
223,Geo
224,Geo
225,HF
226,HF
227,HF
228,Rob
229,Rob
230,Rob
231,Eng
232,Eng
233,Eng
234,Geo
235,Geo
236,Geo
237,HF
238,HF
239,HF
240,Rob
241,Rob
242,Rob
243,Eng
244,Eng
245,Eng
246,Geo
247,Geo
248,Geo
249,HF
250,HF
251,HF
252,Rob
253,Rob
254,Rob
255,Eng
256,Eng
257,Eng
258,Geo
259,Geo
260,Geo
261,HF
262,HF
263,HF
264,Rob
265,Rob
266,Rob
267,Eng
268,Eng
269,Eng
270,Geo
271,Geo
272,Geo
273,HF
274,HF
275,HF
276,Rob
277,Rob
278,Rob
279,Eng
280,Eng
281,Eng
282,Geo
283,Geo
284,Geo
285,HF
286,HF
287,HF
