,smm
1,1.9847932436578892
2,1.383283221395714
3,1.5116085842446285
0,1.5122221819586732
5,1.4237075382792508
6,1.8736597837405882
7,1.2942179105544787
4,1.8080831063782066
9,1.7509853323791955
10,1.3867183593591184
11,1.0874677367626724
8,2.0037645857362514
13,1.076581523967053
14,1.1240087294115007
15,2.317907714333254
12,1.7583945287988396
17,2.2949457659782215
18,2.890127670614619
19,3.696457704225486
16,1.3975348938785157
21,1.750342939022605
22,1.5873073147576042
23,1.2799888235097905
20,2.983167145168432
25,0.760116950066092
26,1.816631131558142
27,1.4379550695214487
24,1.9101269899329043
29,1.5476608195816473
30,1.7741758069004003
31,1.1229028573744533
28,2.7216467377986198
33,1.1291589790636216
34,4.760413942875561
35,1.8788439859101589
32,2.2159080376754785
37,1.6492346575650216
38,1.261510614415087
39,1.2041594578792296
36,2.382066011927153
41,1.0954451150103324
42,0.7745966692414834
43,1.161895003862225
40,1.8641351882307247
45,1.3693063937629155
46,0.724568837309472
47,1.118033988749895
44,0.9746794344808964
49,2.059952787391129
50,1.9187947199922792
51,1.789313771312515
48,3.8173945670303007
53,3.2469737351955454
54,1.630337951577686
55,1.742205214646001
52,1.7962167088981333
57,3.941799570648309
58,1.745138105527942
59,1.9753290500949439
56,1.7210999908886329
61,3.0621614580087706
62,1.3776078693248133
63,1.7826174173960583
60,1.4298407059684812
65,0.8660254037844386
66,1.099894145692441
67,1.211568331626179
64,1.7147893792844127
69,3.2553074948613756
70,2.1276890776322905
71,1.2914553461318008
68,1.860707380806734
73,1.7490240319952994
74,1.9757206283405153
75,1.520233900132184
72,2.1661427451605193
77,0.6290949569084633
78,2.3623512348119124
79,0.5962847939999439
76,1.2874347754458138
81,1.4180375896202184
82,1.3287417730835598
83,2.279229405551779
80,1.7542792432501448
85,2.0604292259669807
86,2.350367505295786
87,3.8146446321590566
84,1.719674273554185
89,3.0760961517119796
90,3.427139046747513
91,1.395142282153861
88,2.5403851701586913
93,1.4535341037153982
94,3.422328781686881
95,0.9241558096322519
92,1.5071801976067511
97,2.0273417746546136
98,3.939847628276104
99,2.5457833571912882
96,1.2758475166093222
