,smm
1,2.4950394474119535
2,2.249741398759795
3,0.4714045207910318
0,2.083830540436543
5,1.5660970096833084
6,1.7957815321990875
7,1.6638284869991635
4,1.6467414260582534
9,1.3411981689233992
10,1.7476156983776534
11,0.8159722407698782
8,1.264911064067352
13,1.1067971810589328
14,1.8037987012910008
15,2.137336091376332
12,2.363325080063969
17,2.9036409344245206
18,2.7831757977062117
19,3.509924276465357
16,1.1822284949012107
21,1.9739080180110005
22,1.0614346127199947
23,0.9966241020034161
20,3.719144156339015
25,1.0531127516890892
26,1.8325263444068114
27,1.7861759501095504
24,1.6021106086697736
29,1.0647210729490002
30,1.6649947641471101
31,1.3521558185997928
28,1.888489696671588
33,0.5
34,3.4685043907509896
35,1.9429285541302057
32,2.4096612454122734
37,1.7312476553239886
38,1.3870509259791195
39,0.8514693182963201
36,1.866854117680246
41,0.724568837309472
42,1.140175425099138
43,0.758287544405155
40,1.0488088481701516
45,1.4053469322555197
46,0.7905694150420949
47,0.758287544405155
44,0.724568837309472
49,2.2825447393998934
50,2.2839799216941614
51,1.2255830653250621
48,3.7219272894016964
53,1.2649110640673518
54,1.8746470244380147
55,1.2799888235097905
52,3.1775626788809634
57,3.869311672914536
58,2.083655998284184
59,1.5911666136942184
56,0.966091783079296
61,3.0927154056678625
62,1.5128906562266249
63,1.75866551036504
60,1.1737877907772671
65,1.51657508881031
66,1.1424045744597247
67,2.2270806370917673
64,1.3592595636383622
69,3.2624549656010644
70,1.3729112311998681
71,2.3145767093467584
68,1.3307137032981384
73,1.1996449756239802
74,1.5446746991280769
75,1.7793451035949086
72,1.5741124421133712
77,1.092887023876752
78,2.9434476428026533
79,1.0296195743832173
76,1.7457054959186367
81,1.6393444220637143
82,2.5724935533842355
83,1.7026341371904685
80,2.1429336392145726
85,1.8292431289004583
86,1.946421970868548
87,2.5048505713506746
84,2.02664558367492
89,2.9219818711342818
90,2.8510837519675665
91,1.0823388057334145
88,1.4602020978400534
93,1.6906469230703116
94,3.6214820642986205
95,1.3545712770887575
92,2.612230918405929
97,2.038626713126891
98,3.546549351506407
99,1.617522737755368
96,1.5409616441839058
