"","Mission","subject","RED_Team","normalized_perf","ToT","MoT"
"70","C4M3S4","Eng","Engineer",0.239905349292361,0.233881543,0.233881543
"71","C4M3S4","Geo","Geology",0.803598686208393,0.803598685,0.858914772
"72","C4M3S4","HF","HumanFactors",0.2105927744651,0.824967594,0.824967594
"73","C4M4S1","Rob","Robotics",0.432398362858087,0.711288937,0.653729996
"74","C4M4S1","Eng","Engineer",0.564258263591021,0.964974053,0.964974053
"75","C4M4S1","Geo","Geology",0.818442578298815,0.818442565,0.868804194
"76","C4M4S1","HF","HumanFactors",0.667962118554893,0.433695072,0.433695072
"77","C4M4S2","Rob","Robotics",0.971458121001587,0.987962787,0.986295655
"78","C4M4S2","Eng","Engineer",0.36376522593451,0.486361386,0.486361386
"79","C4M4S2","Geo","Geology",0.617137625920828,0.61713761,0.724790915
"80","C4M4S2","HF","HumanFactors",0.802314977200982,0.665456286,0.665456286
"81","C4M4S3","Rob","Robotics",0.237215720470343,0.626596159,0.596331754
"82","C4M4S3","Eng","Engineer",0.759730032311774,0.76971503,0.76971503
"83","C4M4S3","Geo","Geology",0.723388817798473,0.723388818,0.80121533
"84","C4M4S3","HF","HumanFactors",0.701550333216415,0.793690851,0.793690851
"85","C4M4S4","Rob","Robotics",0.974752579912327,0.991160398,0.996139226
"86","C4M4S4","Eng","Engineer",0.0558021062098127,0.050975093,0.050975093
"87","C4M4S4","Geo","Geology",0.637663959089159,0.637663949,0.737876999
"88","C4M4S4","HF","HumanFactors",1,0.904135896,0.904135896
"89","C4M5S1","Rob","Robotics",0.776679994228808,0.920380848,0.896316338
"90","C4M5S1","Eng","Engineer",0.421478815239532,0.605227127,0.605227127
"91","C4M5S1","Geo","Geology",0.761825499075809,0.761825493,0.828500788
"92","C4M5S1","HF","HumanFactors",0.925429673798667,0.797800806,0.797800806
"93","C4M5S2","Rob","Robotics",0.934724609591859,0.976077175,0.967907763
"94","C4M5S2","Eng","Engineer",0.236887424050105,0.340164409,0.340164409
"95","C4M5S2","Geo","Geology",0.761825499075809,0.761825493,0.828500788
"96","C4M5S2","HF","HumanFactors",0.635201683619782,0.691023852,0.691023852
"97","C4M5S3","Rob","Robotics",0.192820341166088,0.986673042,0.699629195
"98","C4M5S3","Eng","Engineer",0.633682525980069,0.795380939,0.795380939
"99","C4M5S3","Geo","Geology",0.470938574341479,0.47093857,0.619638815
"100","C4M5S3","HF","HumanFactors",0.624987723605752,0.723995855,0.723995855
"101","NEK1S1","Rob","Robotics",0.993480485357371,0.997,0.989
"102","NEK1S1","Eng","Engineer",0.000294946347883607,0.001,0.003
"103","NEK1S1","Geo","Geology",0.81552684495144,0.816,0.815
"104","NEK1S1","HF","HumanFactors",0.65021396001403,0.088,0.088
"105","NEK1S2","Rob","Robotics",0.895901473491178,0.994,0.351
"106","NEK1S2","Eng","Engineer",0.0000157336993126004,0.006,0.019
"107","NEK1S2","Geo","Geology",1,1,1
"108","NEK1S2","HF","HumanFactors",0.379109084531743,0.294,0.294
"109","NEK1S3","Rob","Robotics",0.754297767690711,0.999,0
"110","NEK1S3","Eng","Engineer",0.42319052069629,0.74,0.512
"111","NEK1S3","Geo","Geology",0.774117288081912,0.774,0.652
"112","NEK1S3","HF","HumanFactors",0.446650298141003,0.697,0.699
"113","NEK1S4","Rob","Robotics",0.66134421672174,0.996,0.872
"114","NEK1S4","Eng","Engineer",0.365292645395216,0.447,0.73
"115","NEK1S4","Geo","Geology",0.773613723564681,0.774,0.774
"116","NEK1S4","HF","HumanFactors",0.507877937565766,0.6,0.605
"117","NEK1S5","Rob","Robotics",0.643381514741451,0.996,0.834
"118","NEK1S5","Eng","Engineer",1,0.866,0.896
"119","NEK1S5","Geo","Geology",0.852305213191,0.852,0.852
"120","NEK1S5","HF","HumanFactors",0.0429463346194318,0.148,0.148
"121","NEK1S6","Rob","Robotics",0.842441233516732,0.999,0.966
"122","NEK1S6","Eng","Engineer",0.853861689244996,0.898,0.86
"123","NEK1S6","Geo","Geology",0.917006671508605,0.917,0.917
"124","NEK1S6","HF","HumanFactors",0.153798667134339,0.656,0.656
"125","NEK1S7","Rob","Robotics",1,0.999,0.999
"126","NEK1S7","Eng","Engineer",0.00000867370603131531,0.002,0
"127","NEK1S7","Geo","Geology",0.0295920218274163,0.03,0.01
"128","NEK1S7","HF","HumanFactors",0.787891967730621,0.227,0.246
"129","NEK1S8","Rob","Robotics",0.936847027476335,0.998,0.467
"130","NEK1S8","Eng","Engineer",0.300388715161505,0.535,0.497
"131","NEK1S8","Geo","Geology",0.336141255241292,0.336,0.336
"132","NEK1S8","HF","HumanFactors",0.946545071904595,0.882,0.889
